,listing code,brand,model,reference number,dealer product code,movement,case material,bracelet material,year of production,condition,scope of delivery,gender,location,price,url
30,biq884,roger dubuis,excalibur,rddbex0589,<blank>,manual winding,titanium,leather,unknown,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,united states of america; california; beverly hills,205000,https://www.chrono24.com/rogerdubuis/roger-dubuis-rddbex0589--id19349576.htm
31,bissl0,roger dubuis,excalibur,rddbex0481,w21193,manual winding,titanium,rubber,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,united states of america; california; newport beach,204500,https://www.chrono24.com/rogerdubuis/excalibur-spider-double-flying-tourbillon-rddbex0481--id19352901.htm
32,8m7jz7,roger dubuis,excalibur,rddbex0613,<blank>,manual winding,carbon,rubber,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,australia; melbourne,198664,https://www.chrono24.com/rogerdubuis/excalibur-aventador-s-45mm--id14473151.htm
33,bihf80,roger dubuis,excalibur,rddbex0481,<blank>,manual winding,titanium,<blank>,unknown,"very good 
                     (worn with little to no signs of wear)",original box; original papers,<blank>,united states of america; california; beverly hills,195000,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-skeleton-double-flying-tourbillon--id19338164.htm
34,clh857,roger dubuis,excalibur,rddbex0283,<blank>,manual winding,red gold,crocodile skin,2012,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,russia; россия,192713,https://www.chrono24.com/rogerdubuis/excalibur--id21157493.htm
35,by7sj3,roger dubuis,excalibur,dbex0471,w201495,manual winding,titanium,<blank>,unknown,"good 
                     (light signs of wear or scratches)",no original box; no original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,186425,https://www.chrono24.com/rogerdubuis/-roger-dubuis---dbex0471------id20072179.htm
36,csa7l5,roger dubuis,excalibur,rddbex0686,rddbex0686,manual winding,carbon,rubber,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,182859,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-aventador-s-45mm--id21474993.htm
37,csa7q5,roger dubuis,excalibur,rddbex0686,rddbex0686,manual winding,carbon,rubber,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,czech republic; prague 1,182742,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-aventador-s-45mm--id21474998.htm
38,csaj72,roger dubuis,excalibur,rddbex0613,rddbex0613,manual winding,carbon,rubber,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,czech republic; prague 1,182742,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-aventador-s-45mm--id21475411.htm
39,96y3t1,roger dubuis,excalibur,rddbex0613,rddbex0613,manual winding,carbon,rubber,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,182742,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-aventador-s--45mm--id15440681.htm
40,3g5p72,roger dubuis,excalibur,rddbex0283,<blank>,manual winding,red gold,crocodile skin,2019,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,united states of america; new jersey; princeton,182000,https://www.chrono24.com/rogerdubuis/excalibur-skeleton-double-flying-tourbillon-le-reduced--id5792731.htm
41,8m7k11,roger dubuis,excalibur,rddbex0613,<blank>,manual winding,carbon,rubber,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,hong kong; hong kong,180599,https://www.chrono24.com/rogerdubuis/excalibur-aventador-s-45mm--id14473153.htm
42,by4s07,roger dubuis,hommage,rddbho0561,w163333,manual winding,red gold,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,179884,https://www.chrono24.com/rogerdubuis/-roger-dubuis----rddbho0561------id20068272.htm
43,c3ghn4,roger dubuis,excalibur,rddbex0281,w205550,manual winding,white gold,<blank>,unknown,"good 
                     (light signs of wear or scratches)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,178249,https://www.chrono24.com/rogerdubuis/-roger-dubuis----88-rddbex0281------id20316731.htm
44,byjd12,roger dubuis,excalibur,rddbex0589,w189351,manual winding,titanium,<blank>,unknown,"good 
                     (light signs of wear or scratches)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,178249,https://www.chrono24.com/rogerdubuis/-roger-dubuis----rddbex0589------id20087173.htm
45,29gz38,roger dubuis,excalibur,rddbex0392,<blank>,automatic,rose gold,crocodile skin,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,173413,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-42-skeleton-flying-tourbillon--id3801135.htm
46,baf6c0,roger dubuis,excalibur,rddbex0392,ow503278,manual winding,rose gold,crocodile skin,2020,"very good 
                     (worn with little to no signs of wear)",original box; original papers,<blank>,united kingdom; london,162584,https://www.chrono24.com/rogerdubuis/excalibur-42-skeleton-flying-tourbillon-rddbex0392--id18962004.htm
47,84mqy7,roger dubuis,excalibur,dbex0283,<blank>,manual winding,rose gold,leather,2014,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,germany; hamburg,161894,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-skeleton-double-flying-tourbillon-rosegold-88stk--id13653034.htm
48,civsr5,roger dubuis,excalibur,rddbex0613,f140nb,manual winding,carbon,rubber,2019,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,china; 南京,160880,https://www.chrono24.com/rogerdubuis/roger-dubuis-2019-excalibur-aventador-ntpt-limited-edition-rddbex0613--id21036411.htm
49,cwj763,roger dubuis,excalibur,rddbex0708,p026nu,automatic,titanium,rubber,2021,"unworn 
                     (mint condition; without signs of wear)",original papers; no original box,men's watch/unisex,china; 南京,160864,https://www.chrono24.com/rogerdubuis/roger-dubuis-limited-of-8-pieces-excalibur-spider-pirelli-rddbex0708--id21673266.htm
50,cspk30,roger dubuis,excalibur,rddbex0269,z110f8/21/28,automatic,platinum,crocodile skin,2013,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,china; 南京,144792,https://www.chrono24.com/rogerdubuis/roger-dubuis-2013-excalibur-limited-of-28-double-flying-tourbillon-rddbex0269--id21494883.htm
51,54o748,roger dubuis,excalibur,rddbex0392,<blank>,manual winding,rose gold,crocodile skin,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,mexico; huixquilucan,129000,https://www.chrono24.com/rogerdubuis/excalibur--id8616064.htm
52,cc74r3,roger dubuis,<blank>,hk9212,hk9212,automatic,rose gold,leather,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,japan; 東京都墨田区,118727,https://www.chrono24.com/rogerdubuis/roger-dubuis-dbex0392--id20724507.htm
53,c91e44,roger dubuis,excalibur,rddbex0422,jp25910,automatic,rose gold,crocodile skin,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,japan; 東京都墨田区,107203,https://www.chrono24.com/rogerdubuis/roger-dubuis-dbex0392--id20577100.htm
54,c756p2,roger dubuis,excalibur,ex45 01 5 n1.67a,<blank>,manual winding,rose gold,crocodile skin,2009,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,bulgaria; sofia,103657,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-double-tourbillon-retrograde-in-rose-gold-mop-dial---full-set-serviced-in-2018--id20488705.htm
55,cclft6,roger dubuis,sympathie,s40.2002,09/2021/0990/4,manual winding,rose gold,crocodile skin,unknown,"very good 
                     (worn with little to no signs of wear)",no original box; no original papers,men's watch/unisex,czech republic; praha 1,99000,https://www.chrono24.com/rogerdubuis/roger-dubuis-sympathie-bi-retro-perpetual-tourbillon--id20743049.htm
56,6g3le4,roger dubuis,sympathie,s40.2002.0.n.96.5,rdu063,manual winding,rose gold,leather,unknown,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,united states of america; california; los angeles,98700,https://www.chrono24.com/rogerdubuis/sympathie-bi-retro-perpetual--s402002-tourbillon--rose-gold--id10828850.htm
57,7v4ln1,roger dubuis,excalibur,rddbex0647,<blank>,automatic,rose gold,rubber,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,96565,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-automatic-skeleton--id13209611.htm
58,apyat7,roger dubuis,excalibur,rddbex0647,<blank>,automatic,rose gold,rubber,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,mexico; mexico,96565,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-automatic-skeleton--id18007013.htm
59,cugtv5,roger dubuis,excalibur,rddbex0250,a830f2,manual winding,platinum,crocodile skin,unknown,"very good 
                     (worn with little to no signs of wear)",original box; no original papers,men's watch/unisex,china; 南京,96527,https://www.chrono24.com/rogerdubuis/roger-dubuis-limited-edition-excalibur-automatic-flying-tourbillon-pt950-rddbex0250--id21576883.htm
60,96y657,roger dubuis,excalibur,rddbex0423,rddbex0423,automatic,rose gold,crocodile skin,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,94923,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-42mm--id15440765.htm
61,cry4l6,roger dubuis,excalibur,rddbex0423,rddbex0423,automatic,rose gold,crocodile skin,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,czech republic; prague 1,94923,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-42mm--id21459333.htm
62,crya01,roger dubuis,excalibur,rddbex0757,rddbex0757,automatic,rose gold,crocodile skin,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,94446,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-blacklight-42mm--id21459528.htm
63,cryag9,roger dubuis,excalibur,rddbex0757,rddbex0757,automatic,rose gold,crocodile skin,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,czech republic; prague 1,94446,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-blacklight-42mm--id21459544.htm
64,cry019,roger dubuis,excalibur,rddbex0744,rddbex0744,automatic,white gold,crocodile skin,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,90171,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-blacklight-42mm--id21459169.htm
65,cry117,roger dubuis,excalibur,rddbex0744,rddbex0744,automatic,white gold,crocodile skin,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,czech republic; prague 1,90171,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-blacklight-42mm--id21459205.htm
66,8mr5l4,roger dubuis,excalibur,rddbex0423,pri-79,automatic,rose gold,crocodile skin,unknown,"very good 
                     (worn with little to no signs of wear)",no original box; no original papers,men's watch/unisex,united states of america; new york; greenvale,89999,https://www.chrono24.com/rogerdubuis/excalibur-18k-solid-rose-gold-diamonds--id14498553.htm
67,4bt586,roger dubuis,hommage,rddbho0568,rdu044,manual winding,rose gold,leather,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,united states of america; california; los angeles,89700,https://www.chrono24.com/rogerdubuis/hommage-flying-tourbillon--rddbho0568-new--id7269452.htm
68,8m7hy3,roger dubuis,excalibur,rddbex0647,<blank>,automatic,rose gold,rubber,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,australia; melbourne,89612,https://www.chrono24.com/rogerdubuis/excalibur-spider-automatic-skeleton--id14473078.htm
69,apy9x5,roger dubuis,excalibur,rddbex0794,<blank>,automatic,rose gold,leather,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,mexico; mexico,89391,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-skeleton-automatic-canelo-limited-edition-42mm--id18006981.htm
70,7v7p58,roger dubuis,excalibur,rddbex0794,<blank>,automatic,rose gold,leather,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,89391,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-skeleton-automatic-canelo-limited-edition-42mm--id13213625.htm
71,96ybf2,roger dubuis,excalibur,rddbex0794,rddbex0794,automatic,rose gold,leather,2021,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,88983,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-skeleton-automatic-canelo-limited-edition-42mm--id15440955.htm
72,7rtng3,roger dubuis,hommage,rddbho0568,sr1282,manual winding,rose gold,crocodile skin,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,united states of america; california; newport beach,88750,https://www.chrono24.com/rogerdubuis/hommage-tourbillon-rddbho0568--id13055452.htm
73,cqa7d1,roger dubuis,excalibur,rddbex0788,w209373,automatic,rose gold,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,88323,https://www.chrono24.com/rogerdubuis/-roger-dubuis--pink-gold-rddbex0788------id21381673.htm
74,cnurm1,roger dubuis,excalibur,rddbex0545,88120/f203fr,manual winding,titanium,rubber,unknown,"very good 
                     (worn with little to no signs of wear)",no original box; no original papers,men's watch/unisex,china; 南京,85267,https://www.chrono24.com/rogerdubuis/roger-dubuis-limited-of-88-pieces-excalibur-spider-skeleton-flying-tourbillon--id21268354.htm
75,cvmu23,roger dubuis,excalibur,rddbex0788,<blank>,automatic,rose gold,rose gold,2021,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,japan; tokyo,83373,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-automatic-skeleton--id21631322.htm
76,96y9p6,roger dubuis,excalibur,rddbex0647,rddbex0647,automatic,rose gold,rubber,2021,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,83043,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-automatic-45mm--id15440893.htm
77,csbak7,roger dubuis,excalibur,rddbex0788,rddbex0788,automatic,rose gold,rose gold,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,czech republic; prague 1,83043,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-42mm--id21476396.htm
78,csbb23,roger dubuis,excalibur,rddbex0788,rddbex0788,automatic,rose gold,rose gold,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,83043,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-42mm--id21476414.htm
79,8m7n02,roger dubuis,excalibur,rddbex0794,<blank>,automatic,rose gold,leather,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,australia; melbourne,82962,https://www.chrono24.com/rogerdubuis/excalibur-skeleton-automatic-canelo-limited-edition-42mm--id14473260.htm
80,csb042,roger dubuis,excalibur,rddbex0574,rddbex0574,automatic,rose gold,rubber,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,82577,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-45mm--id21476020.htm
81,csb078,roger dubuis,excalibur,rddbex0574,rddbex0574,automatic,rose gold,rubber,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,czech republic; prague 1,82577,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-45mm--id21476023.htm
82,by7ca0,roger dubuis,easy diver,rddbse0181,w142442,manual winding,steel,<blank>,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,81667,https://www.chrono24.com/rogerdubuis/-roger-dubuis---88-rddbse0181------id20071594.htm
83,cthke6,roger dubuis,sympathie,sy43 5632 5 n19c.7a-hk,<blank>,manual winding,rose gold,crocodile skin,2004,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,romania; bucuresti,81529,https://www.chrono24.com/rogerdubuis/roger-dubuis-sympathie--id21531182.htm
84,c01mw7,roger dubuis,excalibur,dbex0357,<blank>,automatic,rose gold,crocodile skin,2017,"very good 
                     (worn with little to no signs of wear)",original box; original papers,women's watch,italy; milan,81529,https://www.chrono24.com/rogerdubuis/roger-dubuis-escalibur--id20157512.htm
85,8m7i36,roger dubuis,excalibur,rddbex0647,<blank>,automatic,rose gold,rubber,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,hong kong; hong kong,81459,https://www.chrono24.com/rogerdubuis/excalibur-spider-automatic-skeleton--id14473083.htm
86,csb179,roger dubuis,excalibur,rddbex0573,rddbex0573,automatic,carbon,rubber,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,czech republic; prague 1,81413,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-carbon-45mm--id21476059.htm
87,csb167,roger dubuis,excalibur,rddbex0573,rddbex0573,automatic,carbon,rubber,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,81413,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-carbon-45mm--id21476058.htm
88,4mwbm7,roger dubuis,hommage,rddbho0568,<blank>,automatic,rose gold,leather,unknown,"very good 
                     (worn with little to no signs of wear)",no original box; no original papers,<blank>,united states of america; california; beverly hills,81000,https://www.chrono24.com/rogerdubuis/roger-dubuis-hommage--id7786786.htm
89,cvmp95,roger dubuis,excalibur,rddbex0647,a617nc,automatic,rose gold,rubber,2018,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,china; 南京,80423,https://www.chrono24.com/rogerdubuis/roger-dubuis-2018-excalibur-spider-automatic-skeleton-rose-gold-ceramic-rddbex0647--id21631149.htm
90,apy7o9,roger dubuis,excalibur,rddbex0422,<blank>,automatic,rose gold,crocodile skin,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,mexico; mexico,80388,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-42-automatic-skeleton--id18006900.htm
91,29gyt5,roger dubuis,excalibur,rddbex0422,<blank>,automatic,rose gold,crocodile skin,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,80388,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-42-automatic-skeleton--id3801125.htm
92,91gx62,roger dubuis,excalibur,ex45 01 9 n1.67a,385,manual winding,steel,crocodile skin,2007,"very good 
                     (worn with little to no signs of wear)",original box; original papers,<blank>,germany; münchen,80364,https://www.chrono24.com/rogerdubuis/excalibur-doppel-tourbillon--id15185130.htm
93,csmbt3,roger dubuis,excalibur,rddbex0744,<blank>,automatic,white gold,crocodile skin,2020,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,japan; minato-ku,80130,https://www.chrono24.com/rogerdubuis/roger-dubuis-blacklight-white-gold-42mm-202011roger-dubuis--42m--id21490697.htm
94,c3r2j1,roger dubuis,excalibur,dbex0788,240500313794,automatic,rose gold,<blank>,unknown,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,japan; osaka-shi,79948,https://www.chrono24.com/rogerdubuis/-roger-dubis-42-dbex0788--k18pg-----id20330443.htm
95,4nfbf5,roger dubuis,la monégasque,rddbmg0010,rdu016,manual winding,rose gold,leather,unknown,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,united states of america; california; los angeles,78700,https://www.chrono24.com/rogerdubuis/la-monegasque-rddbmg0010-18k-rose-gold--id7811403.htm
96,crxyd1,roger dubuis,excalibur,rddbex0756,rddbex0756,automatic,titanium,crocodile skin,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,czech republic; prague 1,78291,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-blacklight-42mm--id21459109.htm
97,crxxq5,roger dubuis,excalibur,rddbex0756,rddbex0756,automatic,titanium,crocodile skin,2021,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,78291,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-blacklight-42mm--id21459086.htm
98,crcwa8,roger dubuis,excalibur,dbex0826,<blank>,automatic,titanium,rubber,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,hong kong; tsim sha tsui,76244,https://www.chrono24.com/rogerdubuis/roger-dubuis-roger-dubuis-excalibur-spider-pirelli-dbex0826--id21431818.htm
99,7rf1x6,roger dubuis,golden square,g40 030 gn1g.7a,sr0273,automatic,white gold,crocodile skin,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,united states of america; california; newport beach,75750,https://www.chrono24.com/rogerdubuis/goldensquare-g40-030-gn1g7a--id13036533.htm
100,bwbak1,roger dubuis,excalibur,dbex0826,<blank>,automatic,titanium,rubber,2021,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,hong kong; hong kong,75705,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-pirelli--id19983404.htm
101,8m7mw1,roger dubuis,excalibur,rddbex0794,<blank>,automatic,rose gold,leather,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,hong kong; hong kong,75414,https://www.chrono24.com/rogerdubuis/excalibur-skeleton-automatic-canelo-limited-edition-42mm--id14473256.htm
102,ctui44,roger dubuis,sympathie,s37.5772.0,4387833,automatic,white gold,crocodile skin,unknown,<blank>,original box; original papers,men's watch/unisex,united states of america; pennsylvania; bala cynwyd,74950,https://www.chrono24.com/rogerdubuis/pre-owned-sympathie-bi-retrograde-perpetual-calendar--id21547948.htm
103,c34q30,roger dubuis,sympathie,s37.57070,4384434,automatic,white gold,crocodile skin,2001,<blank>,original box; original papers,men's watch/unisex,united states of america; pennsylvania; bala cynwyd,74950,https://www.chrono24.com/rogerdubuis/pre-owned-sympathie-perpetual-calendar--id20301483.htm
104,7v7nd8,roger dubuis,excalibur,rddbex0704,<blank>,automatic,titanium,rubber,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,74832,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-pirelli-45-mm--id13213561.htm
105,apy7c5,roger dubuis,excalibur,rddbex0704,<blank>,automatic,titanium,rubber,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,mexico; mexico,74832,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-spider-pirelli-45-mm--id18006888.htm
106,8m7iz3,roger dubuis,excalibur,rddbex0422,<blank>,automatic,rose gold,crocodile skin,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,australia; melbourne,74634,https://www.chrono24.com/rogerdubuis/excalibur-42-automatic-skeleton--id14473115.htm
107,cmdlp9,roger dubuis,sympathie,s37 56,<blank>,manual winding,rose gold,leather,2000 (approximation),"very good 
                     (worn with little to no signs of wear)",original box; no original papers,men's watch/unisex,belgium; ghent,73201,https://www.chrono24.com/rogerdubuis/roger-dubuis-sympathie-chronograph-s37-56-salmon-sector-dial--id21199453.htm
108,a6j0f9,roger dubuis,excalibur,rddbex0065,w20792,manual winding,steel,crocodile skin,unknown,"very good 
                     (worn with little to no signs of wear)",original box; no original papers,men's watch/unisex,united states of america; california; newport beach,72775,https://www.chrono24.com/rogerdubuis/excalibur-double-tourbillon-pre-owned--id17100735.htm
109,cesrs1,roger dubuis,excalibur,dbex0067,#35320,manual winding,<blank>,<blank>,2012,"very good 
                     (worn with little to no signs of wear)",original papers; no original box,men's watch/unisex,japan; 東京都墨田区,72717,https://www.chrono24.com/rogerdubuis/roger-dubuis-dbex0067--id20845864.htm
110,by7qd6,roger dubuis,<blank>,ex45-520-20-00/0er01,w172377,automatic,white gold,<blank>,unknown,"good 
                     (light signs of wear or scratches)",original box; no original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,72607,https://www.chrono24.com/rogerdubuis/-roger-dubuis-----ex45-520-20-000er01------id20072101.htm
